agents,Unnamed: 0.1,mean,max,min
5,25.6,36.59647719547861,42.34943585395813,33.495395755767824
10,27.0,73.03076511400718,78.02094184027777,67.88510945108202
15,28.0,108.3218274108238,115.94255028830634,99.25550829039679
25,29.0,174.54772662261016,185.1590013768938,163.6533181667328
50,31.75,348.49945656210184,368.66131711006165,327.8121067583561
100,29.0,691.6727927792818,722.5800631046295,662.9804109930992
500,24.0,3116.545888781547,3293.6233060359955,2939.4684715271
1000,35.0,5792.398819883663,6045.460704723994,5333.8692143758135
2000,26.0,10995.797096848491,11550.40116453171,10441.193029165268
