,steps,agents,dlt,mean,max,min
0,96,5,blockchain,44.696692518889904,51.40492033958435,42.10666227340698
1,96,10,blockchain,95.35274204860131,101.7982292175293,88.1511070728302
2,96,15,blockchain,140.98479042450586,151.05613112449646,134.28055095672607
3,96,25,blockchain,228.16200684010983,239.82742762565613,216.43203616142273
4,96,50,blockchain,467.86883693436783,501.46455788612366,446.7160620689392
5,96,100,blockchain,920.9434213986,965.1546053886414,900.6828916072845
6,672,5,blockchain,49.12561572946253,71.65570211410522,43.255042552948
