,steps,agents,dlt,mean,max,min
0,8,5,blockchain,0.14556384086608887,0.1591653823852539,0.1388399600982666
1,8,10,blockchain,0.20411145687103271,0.2267765998840332,0.19440031051635742
2,8,15,blockchain,0.26505690813064575,0.29151153564453125,0.2552459239959717
3,8,25,blockchain,0.4045371413230896,0.4334726333618164,0.38240623474121094
4,8,50,blockchain,0.7213193476200104,0.7466979026794434,0.6916399002075195
5,8,100,blockchain,1.2893856763839722,1.4117414951324463,1.174875020980835
6,8,500,blockchain,6.102893888950348,6.3651649951934814,5.786542654037476
7,8,1000,blockchain,12.903366386890411,14.368556499481201,12.267662048339844
8,8,2000,blockchain,24.657443553209305,26.076558113098145,23.77835512161255
9,24,5,blockchain,0.1261847416559855,0.13147282600402832,0.12203359603881836
10,24,10,blockchain,0.18270795543988547,0.20545244216918945,0.17642855644226074
11,24,15,blockchain,0.2454641064008077,0.27154994010925293,0.23562955856323242
12,24,25,blockchain,0.3604816496372223,0.4170982837677002,0.3467135429382324
13,24,50,blockchain,0.6443079710006714,0.6930108070373535,0.6258890628814697
14,24,100,blockchain,1.2280929485956829,1.3660392761230469,1.1863760948181152
15,24,500,blockchain,5.923064301411311,6.359846353530884,5.750199556350708
16,24,1000,blockchain,11.977349082628885,13.457507371902466,11.51123857498169
17,24,2000,blockchain,24.125719328721363,25.498296976089478,23.576295137405396
18,48,5,blockchain,0.1259098748366038,0.13878536224365234,0.12321996688842773
19,48,10,blockchain,0.182349627216657,0.19826364517211914,0.17755484580993652
20,48,15,blockchain,0.24424196779727936,0.2583930492401123,0.2360062599182129
21,48,25,blockchain,0.35947663088639575,0.39989638328552246,0.3476731777191162
22,48,50,blockchain,0.6531736254692078,0.7528476715087891,0.6281607151031494
23,48,100,blockchain,1.2633400211731594,1.482931137084961,1.2220067977905273
24,48,500,blockchain,5.910125320156415,6.293912887573242,5.756303548812866
25,48,1000,blockchain,12.079526270429293,13.886922121047974,11.616063117980957
26,48,2000,blockchain,22.950650294621784,26.015472888946533,21.87468433380127
