,steps,agents,dlt,mean,max,min
0,8,5,blockchain,0.48655083775520325,2.8640167713165283,0.12775969505310059
1,8,10,blockchain,0.20443695783615112,0.25828981399536133,0.18068289756774902
2,8,15,blockchain,0.26990675926208496,0.3222837448120117,0.23238658905029297
3,8,25,blockchain,0.381023645401001,0.4092121124267578,0.3607053756713867
4,8,50,blockchain,0.697188526391983,0.7679097652435303,0.6582331657409668
5,8,100,blockchain,1.3876410126686096,1.501828908920288,1.2939209938049316
6,48,5,blockchain,0.13474684953689575,0.15711450576782227,0.12506866455078125
7,48,10,blockchain,0.20161348084608713,0.31368494033813477,0.183990478515625
8,48,15,blockchain,0.26610231896241504,0.3378322124481201,0.24226713180541992
9,48,25,blockchain,0.4158904155095418,0.516392707824707,0.3662228584289551
10,48,50,blockchain,0.7462633202473322,0.9024069309234619,0.6519570350646973
11,48,100,blockchain,1.3156706541776657,1.536374807357788,1.1918420791625977
12,96,5,blockchain,0.13397184759378433,0.18536996841430664,0.12092733383178711
13,96,10,blockchain,0.18749714394410452,0.2213759422302246,0.17418479919433594
14,96,15,blockchain,0.25108471761147183,0.34332704544067383,0.23033499717712402
15,96,25,blockchain,0.36704330146312714,0.46071290969848633,0.34368419647216797
16,96,50,blockchain,0.660000815987587,0.7893598079681396,0.625760555267334
17,96,100,blockchain,1.247564673423767,1.430147647857666,1.1909549236297607
18,672,5,blockchain,0.1333731845730827,0.18507647514343262,0.12047433853149414
19,672,10,blockchain,0.18868782406761533,0.25732898712158203,0.17359399795532227
20,672,15,blockchain,0.24811668623061406,0.3532676696777344,0.23212790489196777
21,672,25,blockchain,0.36630875156039283,0.4288623332977295,0.3436880111694336
22,672,50,blockchain,0.6618222924215453,0.7895724773406982,0.6164822578430176
23,672,100,blockchain,1.1884459902842839,1.3929738998413086,1.1143882274627686
24,2880,5,blockchain,0.12364732424418132,0.18210911750793457,0.11470651626586914
25,2880,10,blockchain,0.17538048086894883,0.24602627754211426,0.16601228713989258
26,2880,15,blockchain,0.2325960460636351,0.3091700077056885,0.2222583293914795
27,2880,25,blockchain,0.34921406192911997,0.4406776428222656,0.3267788887023926
28,2880,50,blockchain,0.6148573201563623,0.7744390964508057,0.581427812576294
29,2880,100,blockchain,1.1834027621481154,1.5595417022705078,1.1075599193572998
30,35040,5,blockchain,0.11929918369065681,0.2610282897949219,0.11208605766296387
31,35040,10,blockchain,0.17185540009443073,0.3310201168060303,0.1598982810974121
32,35040,15,blockchain,0.2250102895511884,0.4178943634033203,0.2125244140625
33,35040,25,blockchain,0.3330966373420741,0.5496437549591064,0.31424403190612793
34,35040,50,blockchain,0.6009327559234344,0.9581601619720459,0.5673401355743408
35,35040,100,blockchain,1.1488586643923364,1.6647589206695557,1.0814378261566162
